html_url,manual_label
https://github.com/gt-crnch-rg/smartnic-tutorial-sc25,1
https://github.com/jrad0302/CS1331-HW07,1
https://github.com/will2dye4/gtphipsi,1
https://github.com/research-acct/research-acct.github.io,1
https://github.com/cjhutto/bsd,1
https://github.com/ramkikannan/planc,1
https://github.com/abhave33/Resourcely,1
https://github.com/phpinto/case_studies,0
https://github.com/monica1244/oh-yeah-games,1
https://github.com/bryanzzhao/180DCxGT,1
https://github.com/debug-ml-iclr2019/debug-ml-iclr2019.github.io,1
https://github.com/colbyshaw/RandomDynamics.jl,1
https://github.com/joshuachio/joshuachio,1
https://github.com/Nimisha-Pabbichetty/IndianArtGeneration,1
https://github.com/zhuyinghua1203/cv_solutions,1
https://github.com/UnitedHolmes/seizure_detection_EEGs_transformer_BHI_2023,1
https://github.com/neurosim/NeuroSim,1
https://github.com/jaep99/GT_ECE4150_Labs,1
https://github.com/VarunKrishnaswamy/Varunk,0
https://github.com/b-mangel/Personal-Portfolio,0
https://github.com/nitimirkhelkar/VIPMarsupialRobots,1
https://github.com/ANL-CEEESA/MIPLearn,1
https://github.com/TrilemmaFoundation/stacking-sats-tournament-mstr-2025,0
https://github.com/vortexlab-uclouvain/multiflap,0
https://github.com/swagluke/CS7641-HW1,1
https://github.com/tneotia/tneotia,1
https://github.com/ivansito87/Updated_Portfolio,1
https://github.com/guanghui-wang-gatech/fish_llm,1
https://github.com/CGJiaxiLiu/CS6457_VideoGameDesign,1
https://github.com/crashPolicyAI/crashPolicyAI,1
https://github.com/RongmingGuo/Autorally_GPS,1
https://github.com/taehunk333/toPSAil,1
https://github.com/lkim94gatech/lkim94gatech,1
https://github.com/johnymontana/CourseCatalog,1
https://github.com/codeforthailand/informatics-researchers-in-thailand,1
https://github.com/jalalirs/Introduction-to-Computer-Vision,0
https://github.com/emited/discourseAnalysis,1
https://github.com/b-mangel/Personal-Portfolio,1
https://github.com/m-haider-iqbal/Introduction-to-Electronics-by-Georgia-Institute-of-Technology,0
https://github.com/lter/ssecr-diversity-stability,0
https://github.com/Darnell-Chen/Android_Scheduler_App,1
https://github.com/MyriadRivers/forest-ui,1
https://github.com/Accessible-Technology-in-Sign/RecordTheseHands,1
https://github.com/donnice/ML4T,1
https://github.com/neurosim/DNN_NeuroSim_V1.0,1
https://github.com/patelrohanv/CS-6035-Intro-To-Info-Security,1
https://github.com/irplonk/github-guide,0
https://github.com/jogola09/Joyce_Ogola_Portfolio,1
https://github.com/mduezguen3/Georgia-Institute-of-Technology-SIPLab,1
https://github.com/idea-iitd/FoodMatch,1
https://github.com/acobianiregui/acobianiregui,1
https://github.com/krhschuetze/Hacklytics2025BRCA,1
https://github.com/kirankaranth1/ApplicationStatusFetcher,1
https://github.com/sumanghosh1999/Semiconductor-Process-Control-ECE6455-A,1
https://github.com/prncoprs/best-papers-in-computer-security,0
